team_abbreviation,age,player_height,player_weight,college,country,draft_year,gp,pts,reb,ast,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
PHI,30,208.28,117.93392,Syracuse,USA,1990,57,18.1,10.1,3.4,0.08,0.225,0.24,0.518,0.161
IND,30,205.74,92.98636,Alabama,USA,1987,50,8,4.8,2.7,0.067,0.127,0.167,0.462,0.154
SEA,34,208.28,106.59412,Washington,USA,1985,61,16.8,6.5,4.4,0.049,0.166,0.211,0.592,0.2
SAS,25,200.66,108.86208,Clemson,USA,1995,6,3,2.3,0.3,0.113,0.25,0.263,0.319,0.071
CHI,25,205.74,112.490816,Providence,USA,1994,48,1.9,1.9,0.6,0.099,0.151,0.163,0.411,0.112
BOS,30,210.82,102.0582,None,USA,1989,25,14,8.4,1.9,0.058,0.217,0.227,0.471,0.092
SAS,37,203.2,104.32616,Georgia,USA,1982,63,18.2,6.4,1.9,0.101,0.154,0.297,0.517,0.118
PHI,27,208.28,106.59412,UCLA,USA,1992,37,10.9,3.8,1,0.06,0.152,0.264,0.493,0.091
DET,23,203.2,113.398,Georgetown,USA,1995,47,2.8,2.1,0.3,0.092,0.159,0.154,0.523,0.053
CHH,31,203.2,98.883056,Notre Dame,USA,1987,62,3.5,2.5,0.4,0.073,0.137,0.131,0.552,0.047
ATL,23,195.58,88.904032,Colorado,USA,1995,22,2.5,0.7,0.6,0.051,0.059,0.244,0.378,0.146
CLE,24,200.66,104.32616,Connecticut,USA,1995,56,3.1,1.3,0.4,0.045,0.118,0.19,0.476,0.085
POR,23,203.2,116.119552,Cincinnati,USA,1994,47,4.5,2.9,1,0.132,0.144,0.204,0.501,0.14
GSW,24,205.74,104.32616,Connecticut,USA,1994,61,7.3,4.5,0.9,0.098,0.21,0.222,0.478,0.088
TOR,27,198.12,92.98636,Pepperdine,USA,1992,81,14.5,5.3,3.9,0.031,0.135,0.184,0.543,0.165
ATL,31,218.44,113.398,Georgetown,Congo,1991,80,13.3,11.6,1.4,0.112,0.256,0.179,0.584,0.066
CHH,33,195.58,92.98636,Virginia Tech,USA,1986,68,14.8,3.1,1.7,0.024,0.098,0.226,0.562,0.104
GSW,29,213.36,127.00576,Louisville,USA,1990,73,5.1,5.7,0.3,0.124,0.205,0.128,0.524,0.02
PHI,25,185.42,83.91452,Western Carolina,USA,1995,7,2.9,2,0.7,0.065,0.156,0.13,0.521,0.106
PHX,34,210.82,111.13004,Tulane,USA,1985,68,8,8.3,1.5,0.099,0.199,0.122,0.538,0.067
UTA,24,187.96,80.285784,Boston College,USA,1994,82,4.5,1,2.4,0.024,0.067,0.192,0.53,0.296
TOR,27,195.58,83.007336,North Carolina,USA,1992,36,5,1.1,0.9,0.02,0.054,0.154,0.466,0.088
MIA,27,208.28,122.46984,Arizona State,USA,1991,82,9.7,5.8,1.2,0.09,0.218,0.227,0.536,0.1
POR,26,195.58,97.52228,Nevada-Las Vegas,USA,1993,76,16.1,4,2.6,0.045,0.097,0.229,0.557,0.129
ATL,26,208.28,111.13004,Georgia Tech,USA,1994,72,1.4,2.8,0.3,0.104,0.189,0.083,0.439,0.042
NJN,33,208.28,109.769264,UCLA,USA,1987,20,2,1.6,0.3,0.167,0.284,0.224,0.441,0.088
IND,24,203.2,95.25432,Michigan,USA,1994,66,7.3,1.8,2.3,0.028,0.095,0.214,0.541,0.234
MIA,24,203.2,113.398,Kentucky,USA,1993,69,11.9,4.3,2.9,0.037,0.121,0.207,0.487,0.158
MIN,26,187.96,81.64656,Alabama,USA,1993,69,8.3,1.6,1.8,0.021,0.076,0.207,0.537,0.163
SAS,22,203.2,115.66596,Michigan State,USA,1996,41,3.7,5.2,0.6,0.133,0.253,0.15,0.405,0.065
DAL,25,200.66,86.18248,South Carolina,USA,1994,23,3.4,2,1.4,0.069,0.098,0.149,0.493,0.159
CHI,24,203.2,116.119552,Alabama,USA,1995,75,7.3,4,1.2,0.114,0.134,0.184,0.574,0.094
PHX,24,193.04,94.347136,California,USA,1994,55,10.9,4.5,9,0.039,0.106,0.17,0.498,0.37
DAL,23,200.66,102.0582,Texas Tech,USA,1996,8,2.4,1,0.3,0.018,0.14,0.172,0.413,0.067
NJN,29,205.74,108.86208,St. John's (NY),USA,1990,41,13.4,13.5,1.2,0.167,0.248,0.209,0.443,0.062
SAC,31,195.58,95.25432,Iowa State,USA,1988,25,3.6,1.5,1,0.077,0.067,0.154,0.496,0.124
UTA,34,193.04,86.18248,Iowa State,USA,1986,82,14.5,2.9,4.4,0.031,0.082,0.2,0.596,0.21
POR,18,210.82,102.511792,None,USA,1996,45,4.1,2.8,0.2,0.099,0.198,0.199,0.494,0.03
ORL,31,208.28,111.13004,Clemson,USA,1987,67,12.6,9,2.4,0.094,0.19,0.161,0.546,0.112
SEA,30,190.5,86.18248,Bradley,USA,1988,82,13.9,3.9,3,0.04,0.098,0.173,0.616,0.143
NYK,39,210.82,117.93392,Ohio State,USA,1981,21,1.9,1.5,0.2,0.056,0.141,0.132,0.408,0.045
MIA,32,190.5,83.91452,Michigan,USA,1988,28,3.9,1.4,1.6,0.029,0.105,0.194,0.46,0.215
SEA,28,193.04,86.18248,Oregon State,USA,1990,82,21.8,4.6,7.1,0.04,0.102,0.264,0.545,0.33
POR,22,203.2,113.398,Ohio,USA,1995,82,10.8,5.2,1.1,0.101,0.167,0.212,0.569,0.077
VAN,26,203.2,103.418976,North Carolina,USA,1993,41,8.3,6.4,1.9,0.106,0.185,0.175,0.512,0.125
LAL,30,203.2,102.0582,Florida State,USA,1989,64,10.2,2.8,1.7,0.027,0.111,0.206,0.527,0.125
DEN,23,213.36,119.748288,UCLA,USA,1995,52,2.8,1.7,0.3,0.102,0.169,0.195,0.5,0.064
ORL,33,198.12,102.0582,Tennessee-Chattanooga,USA,1985,80,10.6,2.2,2.2,0.031,0.064,0.203,0.503,0.143
WAS,26,231.14,137.438376,None,USA,1993,73,10.6,6.6,0.4,0.098,0.217,0.185,0.618,0.024
CHH,30,203.2,99.79024,Michigan,USA,1989,79,26.8,4,2,0.025,0.087,0.272,0.605,0.088
BOS,37,205.74,108.86208,Penn State,USA,1981,17,4.8,2,0.9,0.026,0.133,0.173,0.512,0.116
MIL,24,200.66,106.59412,Purdue,USA,1994,80,21.1,6.3,3.1,0.051,0.144,0.278,0.528,0.146
DET,31,205.74,112.490816,Eastern Michigan,USA,1988,65,5,3.4,0.6,0.096,0.15,0.154,0.523,0.058
SAS,33,208.28,113.398,Houston,USA,1987,82,3.9,5.5,0.4,0.109,0.219,0.106,0.531,0.033
VAN,29,185.42,81.64656,Nevada-Las Vegas,USA,1991,65,9.5,2.8,6.3,0.015,0.099,0.177,0.526,0.358
DAL,33,215.9,120.20188,Kansas,USA,1986,40,2,1.9,0.3,0.059,0.192,0.114,0.466,0.048
UTA,28,210.82,113.398,Texas-El Paso,USA,1990,79,3.5,2.4,0.4,0.078,0.166,0.168,0.508,0.055
SEA,26,193.04,82.553744,Indiana,USA,1993,28,3.3,0.5,0.4,0.013,0.063,0.245,0.476,0.1
BOS,25,198.12,95.25432,Louisville,USA,1994,23,9.6,3.5,1.5,0.058,0.11,0.189,0.519,0.103
UTA,24,218.44,127.00576,Kansas,USA,1995,77,7.3,7.3,0.4,0.133,0.246,0.146,0.561,0.021
HOU,34,213.36,115.66596,Houston,Nigeria,1984,78,23.2,9.2,3,0.075,0.206,0.308,0.558,0.158
WAS,31,205.74,102.0582,Oklahoma,USA,1988,78,4.1,3.3,0.9,0.045,0.136,0.102,0.477,0.059
DET,24,203.2,102.0582,Duke,USA,1994,80,21.4,9,7.3,0.049,0.232,0.283,0.556,0.356
BOS,28,187.96,87.089664,Jacksonville,USA,1990,21,7.6,2.3,3.2,0.015,0.095,0.163,0.455,0.202
MIN,30,210.82,113.398,Indiana,USA,1988,68,8,7.3,0.6,0.108,0.247,0.135,0.603,0.035
GSW,29,187.96,79.3786,Iowa,USA,1989,49,7.9,1.5,2.6,0.008,0.078,0.186,0.538,0.209
PHX,24,205.74,108.86208,Arizona,USA,1996,20,1.5,1.4,0,0.132,0.192,0.156,0.417,0
CHI,34,213.36,111.13004,St. John's (NY),USA,1985,61,4.6,2.1,0.7,0.068,0.119,0.168,0.538,0.079
SAC,28,205.74,102.0582,Syracuse,USA,1991,66,11,5.9,2.8,0.077,0.152,0.189,0.514,0.154
GSW,29,187.96,82.553744,Virginia Tech,USA,1990,51,6.1,2.3,2.9,0.04,0.078,0.153,0.463,0.204
VAN,31,193.04,103.418976,East Carolina,USA,1989,61,7.8,3.1,1.9,0.039,0.116,0.193,0.472,0.14
CLE,24,195.58,90.7184,Florida State,USA,1995,82,9.2,3.8,4.8,0.042,0.134,0.199,0.519,0.318
SAC,26,182.88,74.84268,Duke,USA,1993,49,2.9,0.8,3,0.015,0.05,0.14,0.482,0.336
CLE,27,195.58,99.79024,Southern,USA,1991,69,12.6,3.6,3.4,0.034,0.101,0.208,0.514,0.178
TOR,32,210.82,104.32616,Iowa,USA,1987,6,1.7,1.2,0.2,0.023,0.171,0.153,0.333,0.048
LAC,25,198.12,88.45044,Oregon State,USA,1995,59,7.5,1.9,2.6,0.03,0.089,0.2,0.526,0.224
HOU,28,185.42,83.91452,Oklahoma,USA,1992,25,5,1.2,2.6,0.032,0.052,0.17,0.551,0.249
SAC,25,205.74,115.212368,Xavier,USA,1994,24,10.5,5.9,1.2,0.098,0.185,0.213,0.511,0.078
ORL,31,198.12,90.7184,California-Santa Barbara,USA,1988,77,7.2,2.5,4.1,0.029,0.095,0.184,0.478,0.297
POR,32,220.98,132.448864,None,Lithuania,1986,69,13.4,7.9,2.1,0.082,0.282,0.24,0.592,0.136
MIL,33,205.74,117.93392,Nevada-Las Vegas,USA,1987,80,8.6,6.2,0.7,0.084,0.219,0.169,0.543,0.042
DEN,22,205.74,99.79024,Alabama,USA,1995,74,18.3,7.3,1.4,0.07,0.163,0.267,0.509,0.079
CLE,25,203.2,104.32616,Duke,USA,1994,64,2.7,2,0.5,0.081,0.118,0.136,0.467,0.068
DAL,33,205.74,102.0582,Oregon State,USA,1985,83,7.2,7.9,0.8,0.1,0.207,0.119,0.523,0.045
DET,24,195.58,94.800728,Temple,USA,1994,83,5.2,2.7,1.9,0.031,0.129,0.147,0.524,0.163
MIL,27,210.82,108.86208,Iowa,USA,1993,47,4,2,0.4,0.079,0.14,0.224,0.435,0.077
UTA,27,205.74,109.315672,Stanford,USA,1992,62,3.8,3.5,0.5,0.11,0.177,0.126,0.572,0.051
ATL,24,205.74,106.59412,Indiana,USA,1995,30,6.6,3.9,0.8,0.114,0.184,0.202,0.51,0.078
NYK,26,198.12,90.7184,Tennessee,USA,1993,81,14.8,3,2.2,0.02,0.086,0.223,0.531,0.117
PHI,22,182.88,74.84268,Georgetown,USA,1996,76,23.5,4.1,7.5,0.04,0.072,0.284,0.513,0.32
MIA,27,208.28,118.387512,Georgetown,USA,1992,66,19.8,9.9,1.6,0.1,0.229,0.275,0.578,0.086
DEN,26,193.04,87.543256,Oklahoma State,USA,1994,67,6.6,1.4,2.7,0.019,0.087,0.214,0.526,0.277
BOS,38,213.36,111.13004,Arizona State,USA,1981,53,1.6,3.2,0.2,0.136,0.249,0.1,0.48,0.038
GSW,24,208.28,104.32616,Florida,USA,1995,71,5.3,4.2,0.5,0.132,0.198,0.173,0.552,0.05
MIL,31,210.82,124.7378,Arkansas,USA,1988,52,5.3,5.3,0.5,0.096,0.182,0.123,0.498,0.031
ORL,25,200.66,97.52228,Memphis,USA,1993,59,20.5,4.5,5.6,0.041,0.096,0.254,0.554,0.27
DEN,25,187.96,82.553744,Houston,USA,1994,60,6.5,1.4,3.7,0.011,0.066,0.168,0.531,0.305
CHH,30,203.2,113.398,Tennessee State,USA,1988,73,16.2,11.4,5.7,0.074,0.239,0.179,0.585,0.216
VAN,27,193.04,94.347136,Missouri,USA,1992,72,14.5,3.4,3.6,0.027,0.096,0.248,0.487,0.208
UTA,35,205.74,115.66596,Wichita State,USA,1983,82,7.4,2.4,0.9,0.054,0.111,0.21,0.522,0.089
BOS,20,205.74,101.604608,Kentucky,USA,1996,82,17.5,9,3.2,0.103,0.189,0.251,0.474,0.15
IND,28,205.74,104.32616,Texas-El Paso,USA,1990,82,10.5,7.3,0.8,0.098,0.206,0.187,0.537,0.049
ORL,23,210.82,106.59412,Marquette,USA,1996,17,1.6,1.3,0.4,0.038,0.2,0.206,0.376,0.146
VAN,24,213.36,124.7378,Oklahoma State,USA,1995,75,16.2,8.1,2.1,0.072,0.185,0.223,0.523,0.106
DEN,26,195.58,94.347136,Virginia,USA,1992,52,14.9,4.2,2.6,0.048,0.09,0.201,0.548,0.125
POR,30,208.28,102.0582,Connecticut,USA,1989,81,15.1,4,3.2,0.036,0.088,0.199,0.519,0.137
TOR,24,210.82,104.32616,Louisville,USA,1994,42,4.5,5.6,0.7,0.151,0.223,0.14,0.471,0.067
HOU,35,200.66,100.697424,Houston,USA,1983,62,18,6,5.7,0.062,0.122,0.231,0.548,0.261
LAL,28,208.28,109.769264,Cincinnati,USA,1993,58,4.2,4.8,0.6,0.13,0.182,0.119,0.559,0.056
SAC,23,200.66,111.13004,Arkansas,USA,1995,79,11.6,4.1,1.6,0.082,0.112,0.23,0.535,0.108
SAS,24,185.42,86.18248,Virginia,USA,1995,80,7.2,1.5,3.2,0.023,0.081,0.218,0.528,0.3
SEA,35,198.12,81.64656,Washington State,USA,1983,62,3.5,1.8,1.1,0.056,0.107,0.166,0.412,0.13
IND,28,210.82,104.32616,Clemson,USA,1991,80,10.4,9.7,0.7,0.138,0.215,0.159,0.532,0.04
DEN,36,200.66,97.52228,Tennessee,USA,1983,82,16.6,3.6,2,0.039,0.074,0.214,0.537,0.1
TOR,23,177.8,77.564232,Arizona,USA,1995,81,20.2,4.1,8.8,0.029,0.09,0.253,0.516,0.38
PHI,26,200.66,108.86208,Southern Mississippi,USA,1992,82,12.2,8.3,1.7,0.079,0.172,0.155,0.537,0.078
MIA,31,198.12,99.79024,Central Michigan,USA,1988,36,10.8,4.5,3.2,0.043,0.111,0.157,0.523,0.158
BOS,30,180.34,73.935496,Boston College,USA,1989,24,12.5,2,3.4,0.007,0.074,0.188,0.552,0.195
CLE,30,208.28,106.59412,Duke,USA,1989,82,10.6,4.1,1.8,0.04,0.134,0.177,0.523,0.102
PHX,31,208.28,106.140528,Kansas,USA,1988,77,13.5,6.1,2.2,0.079,0.184,0.227,0.574,0.136
ATL,25,200.66,92.98636,Kansas,USA,1994,24,1.8,0.8,0.5,0.03,0.118,0.159,0.51,0.136
SAS,31,215.9,106.59412,Navy,USA,1987,6,17.7,8.5,1.3,0.161,0.237,0.334,0.559,0.111
ORL,24,205.74,108.86208,Memphis,USA,1995,35,2.3,2.7,0.2,0.128,0.216,0.172,0.475,0.045
SEA,33,195.58,83.91452,Georgetown,USA,1986,65,3.6,1.1,1.2,0.031,0.069,0.134,0.509,0.137
ORL,38,210.82,117.93392,Syracuse,USA,1981,45,3,2.8,0.3,0.091,0.183,0.15,0.465,0.045
DEN,24,193.04,83.460928,Pennsylvania,USA,1995,76,3,1.3,2,0.031,0.088,0.154,0.449,0.264
MIL,29,203.2,97.52228,North Carolina State,USA,1989,70,2.9,2.1,0.4,0.063,0.177,0.123,0.552,0.057
WAS,25,182.88,77.11064,Clemson,USA,1993,82,5.2,1.3,2.2,0.014,0.093,0.183,0.566,0.268
UTA,26,200.66,102.0582,Long Beach State,USA,1993,81,10.8,4.1,1.5,0.041,0.118,0.15,0.6,0.07
NYK,37,203.2,102.0582,Maryland,USA,1981,74,6.3,5.4,0.7,0.135,0.184,0.149,0.574,0.059
LAL,36,193.04,92.98636,Arizona State,USA,1983,79,6.7,1.5,1.3,0.017,0.075,0.157,0.59,0.11
WAS,25,200.66,97.52228,Indiana,USA,1993,79,10.6,3.4,1.4,0.036,0.095,0.165,0.53,0.07
SAS,30,205.74,102.0582,Houston,USA,1990,75,8,4.5,0.7,0.076,0.151,0.19,0.463,0.047
TOR,26,210.82,99.79024,Tennessee State,USA,1994,56,9.8,5.4,0.7,0.098,0.154,0.168,0.575,0.046
PHX,27,200.66,102.0582,Cal State-Fullerton,USA,1990,50,14.6,6.6,1.3,0.088,0.181,0.246,0.522,0.073
HOU,34,198.12,114.305184,Auburn,USA,1984,53,19.2,13.5,4.7,0.127,0.28,0.23,0.581,0.208
NYK,33,205.74,111.13004,Virginia Union,USA,1985,80,10.8,9.8,2.8,0.107,0.218,0.155,0.545,0.127
ATL,27,210.82,111.13004,Duke,USA,1992,82,18.1,8.8,2.7,0.084,0.186,0.236,0.562,0.133
SAS,31,208.28,110.676448,Pittsburgh,USA,1988,19,4.6,3.4,0.7,0.058,0.179,0.165,0.461,0.072
MIN,24,210.82,108.86208,Duke,USA,1995,76,3.3,2.6,0.4,0.098,0.135,0.123,0.535,0.055
MIN,23,198.12,99.79024,Southern Illinois,USA,1995,55,6.1,2.1,0.9,0.043,0.116,0.184,0.558,0.099
POR,32,210.82,108.86208,Yale,USA,1987,81,3.9,7.3,0.5,0.134,0.249,0.107,0.449,0.036
NJN,29,208.28,104.32616,Old Dominion,USA,1991,47,19,7.9,0.6,0.119,0.216,0.312,0.58,0.046
CLE,27,200.66,97.975872,Arizona,USA,1993,80,13.4,6.2,2.5,0.048,0.157,0.175,0.544,0.111
UTA,31,203.2,99.79024,Auburn,USA,1988,73,4.3,2.2,0.6,0.049,0.155,0.178,0.486,0.075
GSW,33,200.66,97.52228,St. John's (NY),USA,1985,79,14.5,4,4.1,0.033,0.106,0.175,0.645,0.195
VAN,23,195.58,90.7184,Western Kentucky,USA,1996,41,4.6,1.7,1.6,0.039,0.088,0.155,0.486,0.156
WAS,24,208.28,111.13004,Michigan,USA,1993,72,20.1,10.3,4.6,0.101,0.207,0.244,0.554,0.193
NYK,26,187.96,86.18248,Florida State,USA,1994,79,5.2,2.8,4.1,0.031,0.116,0.14,0.522,0.282
LAL,35,200.66,108.86208,Longwood,USA,1984,70,6.8,5.2,1.3,0.072,0.164,0.145,0.475,0.077
IND,24,193.04,92.079176,Iowa State,USA,1995,47,4.8,1.7,0.9,0.028,0.146,0.172,0.59,0.122
PHI,22,198.12,98.883056,North Carolina,USA,1995,81,20.7,4.2,3.1,0.053,0.063,0.254,0.524,0.134
POR,30,187.96,88.45044,Michigan,USA,1990,54,3.3,0.9,1.4,0.014,0.086,0.199,0.491,0.233
NJN,27,190.5,83.91452,Florida State,USA,1993,61,15.9,3,5,0.03,0.089,0.274,0.541,0.313
MIN,33,200.66,97.52228,Mercer,USA,1985,82,9.3,4,1,0.064,0.124,0.183,0.523,0.068
SEA,36,205.74,115.66596,North Carolina,USA,1984,81,11,3.7,1.3,0.047,0.145,0.198,0.584,0.089
DAL,21,205.74,108.86208,Louisville,USA,1996,43,4.9,3.4,0.4,0.094,0.198,0.201,0.485,0.05
DEN,33,195.58,90.7184,None,USA,1987,17,6.8,1.8,1.5,0.057,0.086,0.27,0.496,0.188
DAL,27,198.12,90.7184,None,USA,1992,56,12.5,2.4,1.8,0.019,0.069,0.196,0.552,0.103
GSW,26,200.66,102.511792,Connecticut,USA,1993,57,5.2,2.8,1.3,0.061,0.134,0.169,0.485,0.121
CHI,31,200.66,103.418976,Central Arkansas,USA,1987,82,20.2,6.5,5.7,0.059,0.133,0.245,0.554,0.237
LAL,27,208.28,117.93392,Arizona,USA,1992,69,3.8,2.4,0.6,0.088,0.166,0.177,0.547,0.098
HOU,35,187.96,83.91452,West Virginia Tech,USA,1983,21,3.3,1.1,1.9,0.017,0.063,0.122,0.451,0.185
UTA,23,198.12,94.347136,Georgia,USA,1996,65,5.9,2.8,0.8,0.065,0.139,0.193,0.534,0.074
LAL,25,215.9,136.0776,Louisiana State,USA,1992,51,26.2,12.5,3.1,0.119,0.26,0.314,0.556,0.159
VAN,20,205.74,104.32616,California,USA,1996,80,18.7,6.9,2.2,0.089,0.142,0.275,0.518,0.12
TOR,24,210.82,117.93392,Clemson,USA,1994,60,6.5,3.1,0.5,0.089,0.126,0.255,0.423,0.054
DAL,25,228.6,112.490816,Brigham Young,USA,1993,73,13.2,8.4,0.7,0.102,0.197,0.224,0.478,0.042
SEA,27,208.28,116.119552,Trinity Valley Community College,USA,1989,81,18.7,10,1.9,0.122,0.23,0.262,0.583,0.098
DET,24,205.74,93.439952,Georgetown,USA,1996,33,1.5,1.5,0.2,0.144,0.182,0.181,0.419,0.071
CLE,25,210.82,113.398,St. John's (NY),USA,1994,16,1.3,1,0,0.16,0.222,0.191,0.48,0
SAS,29,203.2,99.79024,Arizona,USA,1989,39,14.9,4.9,3.2,0.041,0.126,0.22,0.529,0.161
MIL,30,185.42,88.45044,Syracuse,USA,1989,79,9.7,2.4,5.4,0.03,0.069,0.168,0.557,0.289
VAN,23,208.28,106.59412,Alabama,USA,1996,82,6.6,4.7,0.6,0.088,0.155,0.154,0.518,0.042
CHI,33,198.12,97.975872,Miami (OH),USA,1986,76,6.3,2.5,2.5,0.03,0.091,0.127,0.543,0.152
DET,24,187.96,85.275296,Wake Forest,USA,1995,23,1.7,0.3,0.7,0.008,0.037,0.176,0.448,0.205
CHI,29,187.96,86.18248,New Mexico State,USA,1991,72,4.7,1.5,1.8,0.037,0.079,0.178,0.461,0.178
HOU,22,193.04,94.800728,Louisiana State,USA,1996,64,3.9,1.5,2.4,0.042,0.071,0.169,0.487,0.248
POR,22,210.82,102.0582,North Carolina,USA,1995,62,15.1,6.8,1.2,0.079,0.181,0.218,0.588,0.067
MIL,21,195.58,92.98636,Connecticut,USA,1996,82,13.4,4,2.6,0.046,0.109,0.211,0.541,0.133
CLE,23,187.96,84.821704,Arizona,USA,1996,39,1.5,0.4,0.9,0.019,0.054,0.154,0.454,0.269
IND,31,200.66,83.91452,UCLA,USA,1987,81,21.6,3.5,3.4,0.021,0.092,0.25,0.603,0.17
ORL,32,210.82,114.758776,Syracuse,USA,1988,74,17.3,9.5,1.2,0.122,0.197,0.238,0.567,0.064
PHX,29,193.04,88.45044,Kentucky,USA,1988,65,13.8,2.8,2.8,0.016,0.099,0.223,0.551,0.159
LAC,27,210.82,111.13004,Washington,USA,1993,26,2.9,1.5,0.1,0.079,0.136,0.211,0.425,0.027
BOS,27,200.66,112.944408,North Carolina,Canada,1991,76,15.4,5.2,3.8,0.047,0.134,0.202,0.551,0.175
DET,38,208.28,117.93392,Hampton,USA,1980,22,2.5,2.4,0.3,0.091,0.192,0.164,0.44,0.049
CHH,37,193.04,97.52228,Rice,USA,1982,60,11,2,1.3,0.035,0.078,0.231,0.583,0.111
IND,30,223.52,120.20188,Marist,USA,1988,52,17.1,6.9,1.3,0.085,0.201,0.289,0.535,0.083
LAL,26,208.28,99.79024,Alabama,USA,1992,54,7.8,4.4,2,0.056,0.143,0.149,0.529,0.119
CHI,43,215.9,110.676448,Centenary (LA),USA,1976,43,3.7,2.1,0.5,0.114,0.13,0.201,0.514,0.082
NJN,26,210.82,113.398,St. John's (NY),USA,1992,6,1.5,1,0,0.107,0.143,0.143,0.541,0
WAS,30,190.5,83.91452,DePaul,USA,1988,82,17.2,4.1,8.9,0.038,0.093,0.237,0.533,0.366
LAC,26,200.66,115.66596,Wake Forest,USA,1993,81,13.2,5.1,2.7,0.063,0.132,0.223,0.53,0.152
PHI,27,193.04,86.18248,Kansas,USA,1993,59,6.8,1.8,1.9,0.021,0.093,0.169,0.571,0.18
CHH,32,203.2,109.315672,Syracuse,USA,1986,41,3.1,1.1,0.8,0.07,0.086,0.193,0.476,0.15
POR,28,203.2,92.98636,Nevada-Las Vegas,USA,1991,60,4.7,2.3,0.9,0.06,0.109,0.158,0.531,0.093
LAC,27,213.36,131.54168,Louisiana State,USA,1991,18,9.5,5.1,0.5,0.071,0.218,0.238,0.485,0.049
WAS,25,200.66,103.418976,UCLA,USA,1992,82,10,3.1,1,0.054,0.108,0.205,0.546,0.068
IND,24,180.34,82.553744,Georgia Tech,USA,1995,76,9.9,2.2,4.2,0.021,0.074,0.193,0.533,0.265
LAL,22,213.36,106.59412,Connecticut,USA,1996,71,4.8,4.5,0.5,0.127,0.182,0.142,0.536,0.052
ATL,34,198.12,102.0582,DePaul,USA,1985,70,9.5,4.2,1.8,0.041,0.111,0.153,0.514,0.089
CLE,29,205.74,111.13004,Xavier,USA,1990,74,12.9,9.9,1.2,0.131,0.245,0.178,0.626,0.065
SAC,24,177.8,68.945984,UCLA,USA,1995,70,6.9,1.6,3.2,0.028,0.067,0.192,0.499,0.264
SAS,31,193.04,86.18248,Florida,USA,1988,72,12.9,2.2,2.1,0.015,0.079,0.248,0.471,0.136
MIL,25,210.82,111.13004,Hartford,USA,1993,78,21,10.3,2.7,0.107,0.206,0.255,0.553,0.12
